,CREEDS_drug_id,Disease,DOID,Concept_ID,ICD9,,,,,,,,,
698,dz:755,ovarian serous carcinoma,DOID:0050933,,183,,,,,,,,,
699,dz:626,invasive ductal carcinoma,DOID:3008,C1527349,174,,,,,,,,,
700,dz:985,thymic carcinoma,DOID:3284,C0205969,164,,,,,,,,,
701,dz:845,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
702,dz:341,commensal Escherichia coli infectious disease central nervous system,DOID:2905,C1320188,,,,,,,,,,
704,dz:663,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
705,dz:117,melanoma,DOID:1909,C0025202,172,,,,,,,,,
706,dz:628,actinic keratosis,DOID:8866,C0022602,702,,,,,,,,,
707,dz:107,bipolar disorder,DOID:3312,C0005586,296.7,,,,,,,,,
708,dz:944,osteoarthritis,DOID:8398,C0157946,715.96,,,,,,,,,
709,dz:692,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
710,dz:843,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
711,dz:165,severe acute respiratory syndrome,DOID:2945,C1175175,79.82,,,,,,,,,
712,dz:1061,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
713,dz:122,Acute arthritis,,C0263678,719.4,,,,,,,,,
714,dz:860,astrocytoma,DOID:3069,C0750935,191.9,,,,,,,,,
715,dz:783,acute myeloid leukemia,DOID:9119,C0023467,205,,,,,,,,,
716,dz:1067,Lewy body dementia,DOID:12217,C0752347,331.82,,,,,,,,,
717,dz:278,bone fracture femur,MONDO:0005315,C0015802,821,,,,,,,,,
719,dz:118,malignant pleural mesothelioma,DOID:7474,C0812413,163.9,,,,,,,,,
720,dz:336,Sendai virus infection,,C1319860,79.89,,,,,,,,,
721,dz:275,bone fracture femur,MONDO:0005315,C0016658,821,,,,,,,,,
722,dz:30,nonspecific interstitial pneumonia,DOID:2801,C1290344,516.32,,,,,,,,,
723,dz:582,nicotine dependence,DOID:0050742,,305.1,,,,,,,,,
724,dz:941,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
725,dz:511,salivary gland adenoid cystic carcinoma,DOID:4866,C0010606,142.9,,,,,,,,,
726,dz:241,pulmonary hypertension,DOID:6432,C0020542,416,,,,,,,,,
727,dz:530,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
728,dz:410,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
729,dz:210,Dehydration,HP:0001944,C0011175,276.5,,,,,,,,,
730,dz:459,acne,DOID:6543,C0702166,706.1,,,,,,,,,
731,dz:591,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
732,dz:507,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
733,dz:774,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
734,dz:36,chronic obstructive pulmonary disease,DOID:3083,C0024117,491.21,,,,,,,,,
735,dz:992,Crohn's disease,DOID:8778,C0156146,555.9,,,,,,,,,
736,dz:546,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
737,dz:560,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
738,dz:847,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
739,dz:308,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
740,dz:230,autoimmune hepatitis,DOID:2048,C0241910,571.42,,,,,,,,,
741,dz:258,congestive heart failure,DOID:6000,C0018802,428,,,,,,,,,
742,dz:86,colon cancer,DOID:219,C0007102,153.9,,,,,,,,,
743,dz:945,endometriosis,DOID:289,C0014175,617,,,,,,,,,
744,dz:946,endometriosis,DOID:289,C0014175,617,,,,,,,,,
745,dz:594,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
746,dz:806,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
747,dz:53,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
748,dz:453,Barrett's esophagus,DOID:9206,C0004763,530.85,,,,,,,,,
749,dz:599,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
750,dz:51,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
751,dz:1053,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
752,dz:67,Lung Injury,,C0273115,,,,,,,,,,
753,dz:607,esophagus squamous cell carcinoma,DOID:3748,C0279626,150.9,,,,,,,,,
754,dz:539,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
755,dz:394,meningococcal infection,MONDO:0005373,C0025303,,,,,,,,,,
756,dz:30,nonspecific interstitial pneumonia,DOID:2801,C1290344,516.32,,,,,,,,,
757,dz:628,actinic keratosis,DOID:8866,C0022602,702,,,,,,,,,
758,dz:867,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
759,dz:617,cervical cancer,DOID:4362,C0007873,180,,,,,,,,,
760,dz:744,intracranial aneurysm,DOID:10941,C0007766,437.3,,,,,,,,,
761,dz:187,nephrolithiasis,DOID:585,C0392525,592,,,,,,,,,
762,dz:52,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
763,dz:563,monoclonal gammopathy of uncertain significance,DOID:7442,C0278494,273.1,,,,,,,,,
764,dz:576,arthritis,DOID:848,C0003864,714,,,,,,,,,
765,dz:295,oral cavity squamous cell carcinoma,MONDO:0004958,C0585362,145.9,,,,,,,,,
766,dz:66,Lung transplant rejection,,C0729958,996.84,,,,,,,,,
767,dz:719,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
768,dz:663,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
769,dz:833,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
770,dz:738,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
771,dz:693,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
772,dz:185,NASH,,C0400966,571.8,,,,,,,,,
773,dz:624,testis seminoma,DOID:5842,C0855211,186.9,,,,,,,,,
774,dz:723,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
775,dz:832,pulmonary tuberculosis,DOID:2957,C0041327,11.9,,,,,,,,,
776,dz:371,chronic granulomatous disease,DOID:3265,C0018203,288.1,,,,,,,,,
777,dz:194,chronic lymphocytic leukemia,DOID:1040,C0023458,204.1,,,,,,,,,
778,dz:505,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
779,dz:817,peripartum cardiomyopathy,DOID:9997,C0877208,674.5,,,,,,,,,
780,dz:808,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
781,dz:554,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
782,dz:982,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
783,dz:354,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
784,dz:2,HIV encephalitis,,C0276548,323.01,,,,,,,,,
785,dz:202,ankylosing spondylitis,DOID:7147,C0038013,720,,,,,,,,,
786,dz:1069,Lewy body dementia,DOID:12217,C0752347,331.82,,,,,,,,,
787,dz:583,morbid obesity,DOID:11981,C0028756,278.01,,,,,,,,,
788,dz:655,in situ carcinoma,DOID:8719,C0007099,233,,,,,,,,,
789,dz:28,breast cancer,DOID:1612,C0006142,174,,,,,,,,,
790,dz:979,sporadic breast cancer,DOID:8029,C1336076,174,,,,,,,,,
791,dz:924,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
792,dz:554,hepatocellular carcinoma,DOID:684,C0279607,155,,,,,,,,,
793,dz:1074,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
794,dz:848,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
795,dz:746,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
796,dz:1036,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
797,dz:568,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
798,dz:399,uterine fibroid,DOID:13223,C0042133,218,,,,,,,,,
799,dz:831,pulmonary tuberculosis,DOID:2957,C0041327,11.9,,,,,,,,,
800,dz:22,synovial sarcoma,DOID:5485,C0039101,171.9,,,,,,,,,
801,dz:377,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
802,dz:706,inclusion body myositis,DOID:3429,C0238190,359.71,,,,,,,,,
803,dz:816,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
804,dz:791,anemia,DOID:2355,C0002871,285,,,,,,,,,
805,dz:78,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
806,dz:574,arthritis,DOID:848,C0003864,714,,,,,,,,,
807,dz:691,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
808,dz:712,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
809,dz:367,cocaine dependence,DOID:9975,C0600427,304.2,,,,,,,,,
810,dz:135,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
811,dz:859,oligodendroglioma,DOID:3181,C1335110,192.9,,,,,,,,,
812,dz:855,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
813,dz:877,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
814,dz:787,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
815,dz:435,interstitial cystitis,DOID:13949,C0282488,595.1,,,,,,,,,
816,dz:340,cocaine dependence,DOID:9975,C0600427,304.2,,,,,,,,,
817,dz:670,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
818,dz:1047,intellectual disability,DOID:1059,C0025362,319,,,,,,,,,
819,dz:939,endometriosis of ovary,DOID:11432,C1335160,617.1,,,,,,,,,
820,dz:911,diabetic retinopathy,DOID:8947,C0011884,362,,,,,,,,,
821,dz:836,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
822,dz:227,polymyositis,DOID:10222,C0085655,710.4,,,,,,,,,
823,dz:591,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
824,dz:1080,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
825,dz:261,schizophrenia,DOID:5419,C0036341,259.1,,,,,,,,,
826,dz:580,arthritis,DOID:848,C0003864,714,,,,,,,,,
827,dz:456,chronic myeloid leukemia,DOID:8552,C0023473,205.1,,,,,,,,,
828,dz:825,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
829,dz:979,sporadic breast cancer,DOID:8029,C1336076,174,,,,,,,,,
830,dz:46,macular degeneration,DOID:4448,C0024437,362.5,,,,,,,,,
831,dz:477,alcoholic hepatitis,DOID:12351,C0001306,571.1,,,,,,,,,
832,dz:93,psoriasis vulgaris,EFO:1001494,C0263361,696.1,,,,,,,,,
833,dz:485,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
834,dz:830,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
835,dz:439,Schistosomiases,,C0036323,120,,,,,,,,,
836,dz:812,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
837,dz:154,obesity,DOID:9970,C0028754,278,,,,,,,,,
838,dz:406,pulmonary fibrosis,DOID:3770,C0034069,516.31,,,,,,,,,
839,dz:908,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
840,dz:234,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
841,dz:723,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
842,dz:776,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
843,dz:389,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
844,dz:7,diabetic neuropathy,DOID:9743,C0011882,250.6,,,,,,,,,
845,dz:827,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
846,dz:1003,acute myocardial infarction,DOID:9408,C0155626,410,,,,,,,,,
847,dz:784,Waldenstrom macroglobulinemia,MONDO:0007926,C0024419,273.3,,,,,,,,,
848,dz:1079,systemic lupus erythematosus,DOID:9074,C0024141,710,,,,,,,,,
849,dz:204,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
850,dz:631,pulmonary fibrosis,DOID:3770,C0034069,516.31,,,,,,,,,
851,dz:109,sickle cell anemia,DOID:10923,C0002895,282.6,,,,,,,,,
852,dz:923,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
853,dz:107,bipolar disorder,DOID:3312,C0005586,296.7,,,,,,,,,
854,dz:530,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
855,dz:409,Gamma-hydroxybutyric acidaemia,,C0268631,279,,,,,,,,,
856,dz:25,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
857,dz:924,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
858,dz:838,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
859,dz:702,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
860,dz:164,esophagus adenocarcinoma,DOID:4914,C0279628,150.9,,,,,,,,,
861,dz:544,bipolar disorder,DOID:3312,C0236780,296.7,,,,,,,,,
862,dz:598,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
863,dz:682,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
864,dz:177,gingival fibromatosis,DOID:0060466,C0399440,523.8,,,,,,,,,
865,dz:193,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
866,dz:805,diabetes mellitus,DOID:9351,C0011849,250,,,,,,,,,
867,dz:427,spinal cord injury,MONDO:0043797,C0037929,952,,,,,,,,,
868,dz:299,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
869,dz:304,Idiosyncratic drug effect,,C0277580,995.29,,,,,,,,,
870,dz:748,myelodysplastic syndrome,DOID:0050908,,238.75,,,,,,,,,
871,dz:1012,liver cirrhosis,DOID:5082,C0023890,571,,,,,,,,,
872,dz:313,Ventricular hypertrophy,,C0340279,429.3,,,,,,,,,
873,dz:168,acute lung injury,MONDO:0015796,C0242488,,,,,,,,,,
874,dz:615,lung cancer,DOID:1324,C0153493,162,,,,,,,,,
875,dz:556,dengue disease,DOID:12205,C0011311,65.4,,,,,,,,,
876,dz:824,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
877,dz:852,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
878,dz:486,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
879,dz:446,Hypoxia,,C0242184,768,,,,,,,,,
880,dz:101,muscular atrophy,DOID:767,C0026846,728.2,,,,,,,,,
881,dz:883,endometriosis,DOID:289,C0014175,617,,,,,,,,,
882,dz:823,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
883,dz:690,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
884,dz:687,diffuse large B-cell lymphoma,DOID:0050745,,200.78,,,,,,,,,
885,dz:491,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
886,dz:739,lupus erythematosus,DOID:8857,C0409974,695.4,,,,,,,,,
887,dz:274,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
888,dz:388,Hypotensive episode,,C0520541,458,,,,,,,,,
889,dz:250,Hypoxia,,C0242184,768,,,,,,,,,
890,dz:418,nephroblastoma,DOID:2154,C0027708,189,,,,,,,,,
891,dz:777,nasopharynx carcinoma,DOID:9261,C0238301,147.9,,,,,,,,,
892,dz:481,sickle cell anemia,DOID:10923,C0019034,282.6,,,,,,,,,
893,dz:158,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
894,dz:157,Human immunodeficiency virus infectious disease,DOID:526,C0019693,42,,,,,,,,,
895,dz:793,anemia,DOID:2355,C0002871,285,,,,,,,,,
896,dz:60,Dehydration,HP:0001944,C0011175,276.5,,,,,,,,,
897,dz:255,chronic obstructive pulmonary disease,DOID:3083,C0024117,491.21,,,,,,,,,
898,dz:952,polyposis Intestinal,MONDO:0000147,C1257915,211.3,,,,,,,,,
900,dz:384,cardiomyopathy Viral,DOID:0050700,C0264797,422,,,,,,,,,
902,dz:711,epidermolysis bullosa simplex,DOID:4644,C0079298,757.39,,,,,,,,,
903,dz:653,papillary thyroid carcinoma,DOID:3969,C0238463,193,,,,,,,,,
904,dz:1029,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
905,dz:928,allergic contact dermatitis,DOID:3042,C0162820,692.9,,,,,,,,,
906,dz:634,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
907,dz:751,osteoarthritis,DOID:8398,C0157946,715.96,,,,,,,,,
908,dz:20,familial primary pulmonary hypoplasia,MONDO:0009936,C0456891,748.5,,,,,,,,,
909,dz:557,dengue hemorrhagic fever,DOID:12206,C0019100,65.4,,,,,,,,,
910,dz:1056,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
911,dz:55,premature aging,MONDO:0019303,C0231341,259.8,,,,,,,,,
912,dz:709,adrenoleukodystrophy,DOID:10588,C0162309,277.86,,,,,,,,,
913,dz:722,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
914,dz:66,Lung transplant rejection,,C0729958,996.84,,,,,,,,,
915,dz:485,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
916,dz:713,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
917,dz:508,atherosclerosis,DOID:1936,C0004153,440.2,,,,,,,,,
918,dz:658,esophagus squamous cell carcinoma,DOID:3748,C0279626,150.9,,,,,,,,,
919,dz:267,familial combined hyperlipidemia,DOID:13809,C0020474,272.2,,,,,,,,,
920,dz:98,appendicitis,DOID:8337,C0003615,540,,,,,,,,,
921,dz:232,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
922,dz:1057,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
923,dz:639,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
924,dz:268,dermatitis,DOID:2723,C0013595,692,,,,,,,,,
925,dz:9,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
926,dz:385,duodenum cancer,DOID:10021,C0153426,238.1,,,,,,,,,
927,dz:310,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
928,dz:821,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
929,dz:248,Hypertrophy  Left Ventricular,,C0149721,429.3,,,,,,,,,
930,dz:189,diabetic retinopathy,DOID:8947,C0011884,362,,,,,,,,,
931,dz:498,swine influenza,DOID:0050211,,488.89,,,,,,,,,
932,dz:239,parasitic protozoa infectious disease,DOID:2789,C0033740,7.8,,,,,,,,,
933,dz:909,familial hypercholesterolemia,DOID:13810,C0020445,272,,,,,,,,,
934,dz:555,pancreatic cancer,DOID:1793,C0153463,157.9,,,,,,,,,
935,dz:803,precursor B lymphoblastic lymphoma/leukemia,DOID:7061,C0862030,208,,,,,,,,,
936,dz:707,multiple myeloma,DOID:9538,C0026764,203,,,,,,,,,
937,dz:1026,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
938,dz:360,allergic asthma,DOID:9415,C0155877,493.9,,,,,,,,,
939,dz:550,colon adenoma,DOID:0050912,,211.3,,,,,,,,,
940,dz:1048,cystic fibrosis,DOID:1485,C0010674,277,,,,,,,,,
941,dz:344,thymic carcinoma,DOID:3284,C0205969,164,,,,,,,,,
942,dz:542,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
943,dz:284,primary open angle glaucoma,DOID:1070,C0339573,365.11,,,,,,,,,
944,dz:990,prostate cancer,DOID:10283,C0376358,185,,,,,,,,,
945,dz:372,liver cirrhosis,DOID:5082,C0023890,571,,,,,,,,,
946,dz:424,aplastic anemia,DOID:12449,C0002874,284.9,,,,,,,,,
947,dz:25,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
948,dz:524,Alzheimer's disease,DOID:10652,C0002395,331,,,,,,,,,
949,dz:982,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
950,dz:798,pancreatic cancer,DOID:1793,C0153463,157.9,,,,,,,,,
951,dz:737,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
952,dz:717,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
953,dz:1039,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
954,dz:668,neurofibromatosis,DOID:8712,C0220695,237.7,,,,,,,,,
955,dz:745,chronic lymphocytic leukemia,DOID:1040,C0023434,204.1,,,,,,,,,
956,dz:281,alpha 1-antitrypsin deficiency,DOID:13372,C0221757,273.4,,,,,,,,,
957,dz:555,pancreatic cancer,DOID:1793,C0153463,157.9,,,,,,,,,
958,dz:550,colon adenoma,DOID:0050912,,211.3,,,,,,,,,
959,dz:623,testis seminoma,DOID:5842,C0855211,186.9,,,,,,,,,
960,dz:472,Diamond-Blackfan anemia,DOID:1339,C1260899,284.01,,,,,,,,,
961,dz:436,allergic asthma,DOID:9415,C0155877,493.9,,,,,,,,,
962,dz:391,status epilepticus,DOID:1824,C0038220,345.3,,,,,,,,,
963,dz:489,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
964,dz:21,anaplasmosis,DOID:0050376,C0002797,82.49,,,,,,,,,
965,dz:854,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
966,dz:1011,abdominal aortic aneurysm,DOID:7693,C0162871,441.4,,,,,,,,,
967,dz:325,nicotine dependence,DOID:0050742,C0028043,305.1,,,,,,,,,
968,dz:344,thymic carcinoma,DOID:3284,C0205969,164,,,,,,,,,
969,dz:559,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
970,dz:346,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
971,dz:1006,amyotrophic lateral sclerosis,DOID:332,C0002736,335.2,,,,,,,,,
972,dz:632,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
973,dz:70,Hypoxia,,C0242184,768,,,,,,,,,
974,dz:601,hepatitis C,DOID:1883,C0019196,070.7,,,,,,,,,
975,dz:326,melanoma,DOID:1909,C0025202,172,,,,,,,,,
976,dz:860,astrocytoma,DOID:3069,C0750935,191.9,,,,,,,,,
977,dz:390,Rett syndrome,DOID:1206,C0035372,330.8,,,,,,,,,
978,dz:248,Hypertrophy  Left Ventricular,,C0149721,429.3,,,,,,,,,
979,dz:467,asthma,DOID:2841,C0004096,493.9,,,,,,,,,
980,dz:842,endometrial cancer,DOID:1380,C0014170,182,,,,,,,,,
981,dz:356,pain disorder Neurological,DOID:0060164,C0423704,729.2,,,,,,,,,
983,dz:1043,autistic disorder,DOID:12849,C0004352,299,,,,,,,,,
984,dz:953,Abnormal sperm morphology,HP:0012864,C0919628,792.2,,,,,,,,,
985,dz:949,melanoma,DOID:1909,C0025202,172,,,,,,,,,
986,dz:970,nemaline myopathy,DOID:3191,C0206157,359,,,,,,,,,
987,dz:527,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
988,dz:967,vulvar intraepithelial neoplasia,MONDO:0005198,C0346210,624.01,,,,,,,,,
989,dz:877,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
990,dz:320,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
991,dz:274,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
992,dz:173,type 1 diabetes mellitus,DOID:9744,C0011854,250.01,,,,,,,,,
993,dz:785,Waldenstrom macroglobulinemia,MONDO:0007926,C0024419,273.3,,,,,,,,,
994,dz:564,tuberculosis,DOID:399,C0041295,11.9,,,,,,,,,
995,dz:459,acne,DOID:6543,C0702166,706.1,,,,,,,,,
996,dz:245,colon cancer,DOID:219,C0007102,153.9,,,,,,,,,
997,dz:726,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
998,dz:291,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
999,dz:482,leukemia,DOID:1240,C0023418,208,,,,,,,,,
1000,dz:49,leukemia,DOID:1240,C0023418,208,,,,,,,,,
1001,dz:636,prolactinoma,DOID:5394,C0033375,227.3,,,,,,,,,
1002,dz:741,Parkinson's disease,DOID:14330,C0030567,332,,,,,,,,,
1003,dz:488,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
1004,dz:292,polycystic ovary syndrome,DOID:11612,C0032460,256.4,,,,,,,,,
1005,dz:62,Duchenne muscular dystrophy,DOID:11723,C0013264,359.1,,,,,,,,,
1006,dz:362,lung small cell carcinoma,DOID:5409,C0149925,162.9,,,,,,,,,
1007,dz:490,glaucoma,DOID:1686,C0017601,365.9,,,,,,,,,
1008,dz:58,serous cystadenocarcinoma,DOID:3114,C0206701,183,,,,,,,,,
1009,dz:529,Down syndrome,DOID:14250,C0013080,758,,,,,,,,,
1010,dz:696,psoriatic arthritis,DOID:9008,C0003872,696,,,,,,,,,
1011,dz:946,endometriosis,DOID:289,C0014175,617,,,,,,,,,
1012,dz:1049,myotonic dystrophy type 1,DOID:11722,C0027126,359.21,,,,,,,,,
1013,dz:329,dystonia,DOID:543,C0393593,333.7,,,,,,,,,
1014,dz:590,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
1015,dz:607,esophagus squamous cell carcinoma,DOID:3748,C0279626,150.9,,,,,,,,,
1016,dz:179,Decompensated cardiac failure,,C0581377,428,,,,,,,,,
1017,dz:335,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
1018,dz:684,diffuse large B-cell lymphoma,DOID:0050745,,200.78,,,,,,,,,
1019,dz:51,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
1020,dz:202,ankylosing spondylitis,DOID:7147,C0038013,720,,,,,,,,,
1021,dz:871,idiopathic pulmonary fibrosis,DOID:0050156,,516.31,,,,,,,,,
1022,dz:54,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
1023,dz:919,bronchopulmonary dysplasia,DOID:11650,C0006287,770.7,,,,,,,,,
1024,dz:1037,autism spectrum disorder,DOID:0060041,,299,,,,,,,,,
1025,dz:1011,abdominal aortic aneurysm,DOID:7693,C0162871,441.4,,,,,,,,,
1026,dz:823,psoriasis,DOID:8893,C0033860,696.1,,,,,,,,,
1027,dz:527,Huntington's disease,DOID:12858,C0020179,333.4,,,,,,,,,
1028,dz:336,Sendai virus infection,,C1319860,79.89,,,,,,,,,
1029,dz:760,ulcerative colitis,DOID:8577,C0375359,556.9,,,,,,,,,
1030,dz:2,HIV encephalitis,,C0276548,323.01,,,,,,,,,
1031,dz:5,Cardiac Hypertrophy,,C1383860,429.3,,,,,,,,,
1032,dz:127,Yersinia enterocolitica infectious disease,MONDO:0042370,C0238528,8.44,,,,,,,,,
1033,dz:878,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
1034,dz:172,Familial hypophosphataemic rickets,,C0733682,275.3,,,,,,,,,
1035,dz:267,familial combined hyperlipidemia,DOID:13809,C0020474,272.2,,,,,,,,,
1036,dz:751,osteoarthritis,DOID:8398,C0157946,715.96,,,,,,,,,
1037,dz:158,muscular dystrophy,DOID:9884,C0026850,359,,,,,,,,,
1038,dz:854,schizophrenia,DOID:5419,C0220702,259.1,,,,,,,,,
1039,dz:743,multiple sclerosis,DOID:2377,C0026769,340,,,,,,,,,
1040,dz:912,cerebral palsy,DOID:1969,C0029806,343.9,,,,,,,,,
1041,dz:208,anterior horn cell disease,DOID:4873,C0154681,335,,,,,,,,,
1042,dz:875,Rift Valley fever,DOID:1328,C0035613,66.6,,,,,,,,,
1043,dz:562,smoldering myeloma,DOID:9551,C1336016,203,,,,,,,,,
1044,dz:458,head and neck squamous cell carcinoma,DOID:5520,C1168401,173.42,,,,,,,,,
1045,dz:6,autoimmune polyendocrine syndrome type 1,DOID:0050167,C0085859,258.1,,,,,,,,,
1046,dz:882,type 2 diabetes mellitus,DOID:9352,C0011860,250,,,,,,,,,
